Portfolio,2026 Iran War,COVID Crash,Global Financial Crisis,Inflation Bear Market,Israel-Palestine Gaza War,Russia-Ukraine War,SARS Outbreak
Black-Litterman,0.24435855053099265,-0.008454270810229647,-0.08570023683062233,-0.08393426219421274,2.0598553421699624,12.972982625965129,0.09063913798171597
Equal Weight,0.11131400008210535,-0.03956635662552721,-0.17291997991251318,-0.09482842629468258,1.2267620762657088,6.337623004080189,0.19299701500377142
Markowitz,0.15571463663723462,0.015785751584715957,-0.08460087180448606,0.049701100165106205,1.5199693617090286,9.710722405481576,0.09276997512207141
Monte Carlo,0.11526194656928612,-0.010817741703275985,-0.15388067615301948,-0.116473936174462,1.2283748569911968,6.507740009858089,0.16661211876913518
Risk Parity,0.06439914840417749,-0.02397782203949861,-0.15360214107253545,-0.0651666289535493,1.1090137589534947,5.559174025969922,0.1619258504886416
